"","DEPARTMENT","WORK.GROUP","CREATION.YEAR","CREATION.MONTH","Number.Of.Cases","Number.Of.Open.Cases","Number.Of.Cases.Exceeding.Timeframe","Percent.Of.Cases.Exceeding.Timeframe","UniqueID","Mean.Days.To.Close.Of.Closed.Cases","Median.Days.To.Close.Closed.Cases","Standard.Deviation","Above.One.Standard.Deviation","Above.Two.Standard.Deviations","Above.Three.Standard.Deviations","Below.One.Standard.Deviation","Below.Two.Standard.Deviations","Below.Three.Standard.Deviations","Month.Year","Date.End.Month"
"1649","Health","Health-Rat-",2008,5,72,0,1,1.38888888888889,"Health Health-Rat- 2008 5",10.7083333333333,4,11.1183612887187,21.826694622052,32.9450559107708,44.0634171994895,-0.410027955385381,-11.5283892441041,-22.6467505328228,"2008.5","2008/05/31"
"1650","Health","Health-Rat-",2008,6,83,0,2,2.40963855421687,"Health Health-Rat- 2008 6",18.144578313253,18,6.13493103330644,24.2795093465594,30.4144403798659,36.5493714131723,12.0096472799466,5.87471624664014,-0.260214786666303,"2008.6","2008/06/30"
"1651","Health","Health-Rat-",2008,7,113,0,6,5.30973451327434,"Health Health-Rat- 2008 7",19.2212389380531,20,6.0144684382067,25.2357073762598,31.2501758144665,37.2646442526732,13.2067704998464,7.19230206163969,1.17783362343299,"2008.7","2008/07/31"
"1652","Health","Health-Rat-",2008,8,115,0,0,0,"Health Health-Rat- 2008 8",21.4869565217391,22,6.33337749392449,27.8203340156636,34.1537115095881,40.4870890035126,15.1535790278146,8.82020153389015,2.48682403996566,"2008.8","2008/08/31"
"1653","Health","Health-Rat-",2008,9,127,0,1,0.78740157480315,"Health Health-Rat- 2008 9",25.0236220472441,27,6.15470470057306,31.1783267478172,37.3330314483902,43.4877361489633,18.868917346671,12.714212646098,6.55950794552492,"2008.9","2008/09/30"
"1654","Health","Health-Rat-",2008,10,155,0,0,0,"Health Health-Rat- 2008 10",21.0903225806452,23,7.21863366387214,28.3089562445173,35.5275899083894,42.7462235722616,13.871688916773,6.65305525290088,-0.565578410971259,"2008.10","2008/10/31"
"1655","Health","Health-Rat-",2008,11,89,0,1,1.12359550561798,"Health Health-Rat- 2008 11",18.8988764044944,20,6.36046907900707,25.2593454835015,31.6198145625085,37.9802836415156,12.5384073254873,6.17793824648023,-0.18253083252684,"2008.11","2008/11/30"
"1656","Health","Health-Rat-",2008,12,73,0,1,1.36986301369863,"Health Health-Rat- 2008 12",16.041095890411,16,7.41701938517905,23.45811527559,30.8751346607691,38.2921540459481,8.62407650523191,1.20705712005286,-6.20996226512619,"2008.12","2008/12/31"
"1657","Health","Health-Rat-",2009,1,46,0,1,2.17391304347826,"Health Health-Rat- 2009 1",10.804347826087,9,5.02270208472333,15.8270499108103,20.8497519955336,25.8724540802569,5.78164574136363,0.758943656640302,-4.26375842808303,"2009.1","2009/01/31"
"1658","Health","Health-Rat-",2009,2,49,0,0,0,"Health Health-Rat- 2009 2",11.5102040816327,10,5.74500670502797,17.2552107866606,23.0002174916886,28.7452241967166,5.76519737660468,0.0201906715767173,-5.72481603345125,"2009.2","2009/02/28"
